Case #1: 1000
8 15 131965
22 13 74003
7 24 80935
14 1 132444
27 2 124843
19 18 235286
25 16 221724
2 22 174618
15 29 100773
28 14 116050
11 23 172276
21 9 168556
20 16 130159
22 6 69211
15 11 113731
3 9 62238
29 12 52481
17 1 84637
16 3 152501
3 23 147348
26 5 129105
11 21 183746
8 14 143775
13 10 94624
21 16 217317
10 6 89832
20 5 53722
8 22 99896
30 4 151074
2 24 128700
13 33 71233
22 17 49224
9 20 39896
35 14 129614
17 11 98332
19 2 203558
18 34 174029
3 10 60069
16 22 190843
13 32 76808
7 19 158616
30 21 174449
17 31 34693
7 21 176019
4 3 134395
31 16 136086
15 31 63884
18 30 169075
13 20 8249
30 34 67265
9 7 26273
11 2 178430
5 11 85406
33 5 116706
7 2 151838
26 14 189838
2 31 114791
12 35 59159
22 30 100715
1 2 164735
11 28 121279
12 24 25954
15 20 82047
32 4 140600
7 16 116536
28 27 67692
11 7 135735
10 21 179207
10 32 101216
23 9 154460
19 10 96635
25 20 103801
3 11 102350
12 20 6118
35 25 156842
6 35 93001
8 26 177093
29 35 111640
5 9 81382
15 26 157430
16 18 260336
36 9 146536
8 25 139217
36 5 165432
31 28 57640
4 20 122591
20 3 27412
32 19 145147
4 12 116473
3 15 70411
4 36 170457
6 11 143968
5 23 99084
21 17 117200
28 8 73619
8 12 73320
30 32 102414
20 33 62984
22 14 142327
17 34 55312
5 1 14385
15 16 199970
13 16 138408
7 3 88511
32 33 93573
16 8 192291
24 4 126819
24 26 145337
35 15 135088
29 22 118595
27 3 48763
9 18 170073
19 5 94496
35 20 65277
24 23 146636
31 13 26412
22 19 117256
29 14 122936
12 10 92493
Case #192: Impossible
Case #193: Impossible
Case #194: 880
1 29 123481
41 17 135778
41 40 101077
39 26 79032
23 17 97631
40 45 128263
28 18 35912
27 39 95790
13 14 74039
4 11 149766
44 37 123422
11 30 155719
41 2 48615
38 31 81482
40 32 142832
41 6 55175
43 33 124316
46 32 101889
46 5 32274
6 37 126420
35 3 93660
30 33 189271
33 14 131510
11 33 149365
5 12 135005
19 25 214667
40 14 81392
23 14 114270
18 44 163274
12 33 163135
20 28 136302
1 28 113290
14 4 25783
41 11 159083
5 17 136661
27 6 86357
17 18 13461
9 28 51507
24 17 106835
1 41 37979
45 9 143775
45 5 128039
19 46 30629
32 30 174586
39 35 141035
27 10 116995
18 37 77994
12 29 110337
39 10 165601
43 8 49027
37 39 143473
5 25 195658
13 46 87662
43 30 126751
16 15 190871
30 29 243014
13 41 67721
31 27 176860
22 4 104468
45 33 40507
24 19 140480
8 17 148335
27 29 129934
12 2 188318
15 29 179664
25 4 205890
36 35 137075
41 20 60991
7 11 122359
16 31 185580
11 42 93558
44 23 171502
45 46 137863
40 12 123355
14 45 124240
15 32 147328
40 30 129554
2 5 87514
32 39 159872
13 37 138966
4 43 14648
1 24 141205
9 15 144309
9 22 119986
9 42 117184
2 14 68863
26 18 145600
3 37 48027
3 12 159658
8 3 163142
31 25 286819
6 19 37081
4 46 39406
35 45 75342
7 41 78408
7 46 44537
7 12 89639
46 14 13623
11 20 164183
6 21 92215
12 19 155810
15 33 111817
16 42 178138
23 40 148530
19 2 85869
39 30 208870
13 18 205510
24 46 109851
22 40 102335
10 8 110509
45 3 149642
33 46 117887
19 16 127808
12 32 146905
12 16 147296
9 14 137943
7 16 150988
13 26 66613
40 38 97992
23 42 140857
13 45 167676
26 30 130460
25 46 194865
43 19 23425
20 3 180263
3 23 193187
32 28 105254
38 27 127954
19 15 76068
9 30 179345
14 25 208488
33 22 61963
36 46 54023
42 38 81965
12 21 148868
42 6 152817
39 38 97320
18 6 159594
43 28 113211
28 2 146667
23 15 167982
23 2 183133
37 28 69980
17 2 169118
36 22 144252
41 35 116878
31 40 146898
35 29 175179
8 23 137892
41 24 143722
42 46 163476
28 5 114210
22 29 183655
35 6 131602
31 42 130871
7 6 93087
25 35 202303
23 13 188309
17 27 118401
9 3 169514
2 13 116336
15 24 177186
15 6 93989
30 16 168236
42 15 158479
19 41 37254
38 22 72197
33 3 116150
10 24 168953
22 32 128831
24 38 100672
32 43 47835
31 28 65194
3 40 168867
12 46 134176
16 29 140993
11 31 37313
25 2 275233
34 4 52885
38 17 38739
8 25 223079
14 8 23622
32 1 91145
5 30 141685
29 45 207444
1 42 153710
17 42 88128
44 14 57232
20 18 172214
44 22 135917
44 28 130604
10 13 175375
42 28 65677
33 21 78444
35 4 122458
28 36 159238
36 34 72059
23 35 170787
24 14 123474
5 26 11225
9 8 161565
9 1 145781
27 42 135887
5 24 142125
18 43 117177
15 26 66488
8 19 25602
46 20 54366
21 27 111052
32 36 138981
10 9 136076
37 26 98919
4 10 106156
4 12 164587
3 34 181474
36 9 178343
43 27 91861
10 11 112450
3 31 183201
9 38 67795
45 2 69797
10 26 124513
43 20 66322
21 22 130794
7 9 79783
40 35 75207
38 13 185886
16 18 145299
37 7 149653
43 21 45872
44 36 107947
39 31 146226
9 2 180992
2 16 188374
36 45 174955
7 18 130390
40 24 157734
31 18 101106
26 40 88818
43 9 164718
44 4 31449
29 43 146181
23 43 154701
38 8 145950
38 30 144126
10 41 110713
24 30 212222
35 33 34835
32 20 114157
18 34 173425
30 27 159516
35 2 133848
28 15 92802
42 18 101589
25 26 206883
31 36 168670
13 22 152724
8 29 129372
1 7 75891
10 44 120033
44 35 124107
3 13 186993
22 12 110130
32 11 133135
8 26 16196
5 19 20805
13 25 206862
3 11 145888
34 38 153801
25 41 226618
1 23 132001
2 36 134430
10 1 134818
13 4 84970
1 25 196578
40 16 38682
9 13 200249
11 18 63793
31 45 157462
34 6 41419
32 26 80840
39 14 71606
29 34 147704
31 19 178302
24 39 51868
42 24 150061
13 36 104144
30 8 146482
36 3 205087
35 22 27128
18 1 149202
15 31 102234
19 36 67721
20 19 42897
13 20 33296
21 42 64528
34 13 34507
36 24 163874
37 30 197818
14 6 34927
35 5 115326
40 8 105014
44 46 70855
8 2 92485
44 20 83123
5 20 22092
8 21 68799
45 39 173300
11 36 131357
45 12 133919
26 9 145369
28 19 133175
11 13 197479
39 1 89337
46 43 54054
32 9 156761
29 21 192053
3 26 146946
37 11 97861
43 11 141092
34 35 129705
14 1 17731
26 7 65586
18 25 257537
40 19 89126
12 26 146230
21 5 90102
4 7 83943
7 44 115392
3 38 101719
28 3 118007
20 4 51674
37 27 90878
26 16 127500
12 9 9856
39 40 125752
13 27 125469
36 1 47836
12 23 33529
2 44 100792
31 30 193032
41 14 20248
28 35 95607
42 39 146709
8 46 37245
29 19 122756
32 34 115368
3 16 207549
12 38 57939
20 25 173566
46 41 33871
35 46 83052
10 22 98878
39 2 140469
36 8 74337
30 22 196317
28 6 130486
4 31 187079
29 31 180370
22 17 46028
6 26 27501
19 37 108499
18 46 166649
11 5 142091
27 2 120293
6 13 73504
22 11 96360
5 38 130498
25 29 286992
45 23 167448
23 6 149197
15 40 152189
26 19 9580
1 44 60111
23 18 111092
34 1 24223
7 19 75166
2 33 99013
14 11 138835
41 26 27674
37 17 64533
38 19 120348
5 15 77713
46 29 92127
41 18 149239
8 22 102307
13 40 155431
9 18 87419
27 34 93384
10 38 100857
32 19 71260
40 33 110042
6 12 153121
27 4 77213
35 42 90642
34 37 133447
35 38 99325
15 34 101016
35 9 147114
39 25 252848
16 25 205844
46 16 106451
42 40 139456
7 8 81782
46 21 99926
15 2 142777
34 44 84334
34 46 55577
41 27 71678
25 12 263276
6 33 161295
44 5 61031
14 7 58160
36 23 154670
4 8 34379
16 6 155001
23 11 103061
33 16 148724
21 17 84766
36 17 181689
4 29 131533
33 34 164540
31 44 195798
30 36 188601
24 6 158401
12 24 42733
39 23 42664
16 14 120074
35 32 111316
15 13 133101
40 11 109585
26 34 34528
36 42 201546
45 15 152324
20 10 142079
41 39 91854
43 15 99493
22 42 117770
40 20 122135
28 41 141225
4 6 45858
36 14 65567
32 7 146426
10 40 120564
13 8 82809
7 24 65314
2 46 82486
13 16 194113
11 12 69532
8 42 129401
26 4 18357
6 36 65032
10 17 107020
30 23 203018
8 12 162426
19 10 114933
29 9 100481
32 17 82803
22 26 86111
17 1 135741
23 7 56110
1 12 135925
7 42 160155
22 31 133673
43 44 46097
13 29 179789
26 42 143405
18 30 163750
7 17 116929
38 7 108301
4 21 60520
3 7 197680
16 41 139759
21 25 253918
20 36 70848
19 11 140989
39 6 106533
8 20 49513
35 1 114406
21 41 106551
39 20 112349
35 19 113681
5 9 144861
28 12 41651
1 22 96416
15 21 145365
33 37 68123
16 38 136674
19 45 107234
10 31 149763
44 3 171449
33 13 199047
34 10 140868
34 7 100114
39 44 128838
11 9 79388
2 30 181446
31 14 176148
23 19 131276
26 21 78877
44 26 49806
42 12 107328
40 9 124857
37 36 157060
26 23 121696
19 44 40226
38 44 143020
24 35 179991
8 5 27421
13 30 197073
19 27 68436
10 21 45636
9 24 32877
18 5 150122
4 2 80580
23 24 9204
44 41 52177
3 41 119272
24 11 112265
43 14 40431
41 9 158191
36 21 137018
28 33 121484
5 29 124401
21 19 69297
19 3 156526
23 16 113767
45 38 108556
3 46 153143
41 12 168047
39 22 149511
27 1 69161
43 3 161503
30 44 80654
26 46 21049
30 34 164988
9 31 116701
26 45 116814
43 37 131924
37 35 45633
3 25 138287
17 9 73958
25 40 167162
1 30 140765
43 41 60679
31 34 202707
33 9 172991
6 32 90252
43 34 67533
14 19 17006
27 22 72373
28 14 131021
10 36 182654
3 29 225644
30 42 171248
15 7 132074
5 3 158171
25 36 244414
38 14 137354
46 31 189771
44 33 156948
30 20 163777
37 14 91493
21 44 91969
29 39 34144
10 30 152356
17 4 145286
9 20 166953
32 16 181514
14 20 40743
24 28 84384
21 40 140869
4 5 29582
42 2 80990
26 35 104101
20 17 158753
24 29 86012
34 28 137513
37 22 18505
17 28 22451
7 2 127023
45 44 127732
9 4 158124
8 34 50724
39 36 112006
23 27 138454
46 27 37807
42 29 180853
37 8 115115
16 10 159246
23 31 140374
21 18 71305
23 29 76808
16 21 179551
46 37 105116
27 11 139547
35 30 204761
6 5 18116
13 39 145645
3 17 112560
20 2 109606
17 15 115253
30 7 196046
7 28 94478
21 34 113405
23 32 171903
21 35 113279
4 28 127859
39 15 145520
11 17 50332
15 1 76793
13 17 192049
8 28 139791
37 12 111631
4 45 98457
20 24 164217
32 29 194016
40 17 104155
43 25 220538
12 39 76193
20 22 119428
34 41 62202
12 15 134453
38 32 121542
40 29 159896
22 14 93537
16 43 133679
24 37 154364
39 34 113560
21 28 107217
2 31 211861
5 7 76811
4 32 62483
26 43 33005
1 43 43310
45 41 118412
1 31 178484
26 28 123595
40 46 67769
5 10 135738
24 4 149257
12 34 158308
40 27 29962
11 21 135098
46 9 124320
33 19 147741
2 11 174548
18 12 77563
27 5 70081
31 43 178405
29 38 131464
1 33 149241
30 15 196948
41 22 89750
4 40 80349
15 27 122227
35 8 120297
14 5 18651
7 27 82344
39 4 97389
3 1 157251
33 5 150161
39 43 112037
20 45 134380
25 24 294727
18 3 126021
34 20 1211
24 18 120296
22 18 59489
16 36 160474
11 45 120149
16 4 119031
10 2 62098
7 45 182400
32 31 170448
18 4 131825
16 11 148267
32 25 251955
16 8 143696
5 32 92065
5 22 97336
18 14 153026
39 5 90257
19 30 120880
7 35 127589
27 8 75052
16 44 87582
15 3 148812
46 38 150977
3 2 167887
44 40 48900
18 38 52200
14 17 139565
18 35 86617
45 22 102470
33 18 121452
35 27 45245
22 43 119116
17 31 87645
30 21 172623
36 27 91830
32 27 113015
43 12 154862
29 10 199745
41 30 132831
1 6 17196
40 2 149692
20 33 165751
18 40 117616
29 41 125998
28 13 169598
8 18 136178
42 13 194267
13 32 147453
36 26 58141
38 41 124937
20 15 99805
5 37 110144
20 21 112194
16 28 120386
13 1 56308
8 41 43870
15 25 273371
29 17 137627
25 9 261850
32 10 43673
25 22 204819
14 12 147799
15 22 104110
9 6 162977
4 38 111571
26 20 33317
4 33 138964
21 1 89182
28 10 84569
20 6 40208
12 13 190393
4 23 140053
19 34 44108
21 13 145490
45 16 166945
39 33 175870
37 45 108630
4 15 84845
28 23 75180
10 3 153065
9 37 121487
38 26 129928
36 12 183761
36 7 98560
21 7 144463
38 43 96923
4 37 117276
15 35 76982
33 29 210014
11 29 143057
18 32 69342
5 1 920
15 36 66436
27 14 51430
20 27 92173
42 25 265035
22 24 152863
46 28 139015
25 30 93787
25 6 213774
38 21 123505
45 28 92268
20 38 152590
38 33 121815
38 25 237913
31 26 168722
2 22 138365
26 11 131409
5 13 55388
44 15 116294
11 15 64921
2 18 175113
28 27 111666
43 7 98591
7 29 47590
5 41 38899
24 3 202391
12 10 126220
4 42 125048
40 28 81704
34 22 120639
17 43 130638
20 7 98903
31 6 195680
2 37 119860
24 44 180706
30 14 137886
38 36 175526
19 17 141719
45 10 7699
42 14 149853
12 20 157097
30 45 160055
43 35 137106
2 26 76289
30 46 151509
23 9 23673
42 10 18892
32 14 88266
14 3 139520
37 31 135174
27 24 147658
21 31 172411
43 45 83809
35 11 123488
44 13 116419
34 16 162028
22 7 151697
13 7 132199
45 24 176652
2 29 174613
14 21 86303
7 10 179047
17 12 64102
18 36 195150
38 11 44169
4 1 28662
5 31 179404
3 27 138905
8 39 95228
38 37 53692
33 36 171910
46 15 87537
27 33 80080
8 31 184918
23 37 145160
6 22 113612
34 45 133169
1 8 26501
34 24 165428
14 26 7426
10 25 246143
18 45 105316
7 31 159672
46 1 31354
23 25 285523
46 6 48550
11 25 249506
9 16 137440
10 18 113015
8 15 82684
6 10 133925
45 32 35974
42 37 123930
41 32 108514
1 19 19885
22 23 143659
11 6 158367
20 23 155013
32 33 76481
12 35 137258
21 37 146567
14 10 130961
46 11 152458
25 17 244076
16 37 159522
9 39 66337
44 9 173757
18 19 140602
28 25 221625
34 2 110817
40 5 100043
2 38 162855
27 26 58856
17 45 114719
33 23 196664
23 34 156224
37 32 144604
29 37 177617
3 39 191500
3 32 113668
20 1 23012
14 29 105750
7 39 13446
Case #195: 1
1 2 1000000
Case #196: Impossible
Case #197: Impossible
Case #198: 177
5 11 308361
10 22 326194
28 18 104097
4 18 218574
12 13 214760
16 9 344307
18 27 172005
8 19 154432
30 7 259731
6 12 409277
26 3 151990
33 17 231522
13 29 175419
31 15 136824
32 26 236812
24 31 227681
21 6 397250
27 16 211939
23 8 141336
29 25 143081
32 19 211618
3 15 199230
28 32 235650
24 26 248537
16 17 321744
30 20 208680
21 7 94089
31 25 77892
27 15 158472
20 13 259818
13 6 383458
19 21 74152
23 9 245283
17 31 190131
32 16 359549
1 33 123447
18 6 301970
20 31 201645
8 32 183207
21 25 131034
16 30 242445
9 22 190893
14 22 244343
9 31 110720
31 16 233587
10 26 327011
20 19 199458
32 5 192023
12 25 225718
8 4 149288
24 16 5906
28 1 61204
23 33 90812
6 11 327260
11 31 335860
17 29 298616
1 6 223923
21 4 179753
26 27 161692
13 14 80383
17 4 223431
6 31 359551
30 33 218329
28 19 125225
18 8 133304
5 4 158104
24 2 319568
6 29 260855
26 25 191883
1 12 185354
8 15 167752
32 31 229189
24 29 292870
19 24 208202
2 7 245322
3 8 236968
7 11 376807
29 18 139996
3 29 252852
2 21 185518
16 14 326306
18 5 60470
13 22 182783
22 26 202239
28 3 233923
15 17 244994
8 1 55257
6 3 371735
20 23 186362
32 22 151198
14 17 86044
9 10 331686
9 28 133234
25 30 184188
18 25 200481
2 17 338153
21 27 74790
11 28 351988
16 28 279847
13 10 295684
29 1 97103
20 8 109044
22 24 202445
8 6 279180
25 22 159206
10 2 371865
29 26 248529
15 30 157131
27 25 56244
5 12 167777
17 23 231383
31 18 193653
25 23 56671
13 25 118773
5 22 40825
9 20 144122
7 9 151667
3 32 84822
11 29 387887
2 23 226450
17 7 231078
33 28 149497
22 21 177752
9 5 150068
4 15 221245
12 4 214898
11 14 231773
11 32 276315
31 29 108485
4 22 117279
26 13 73110
15 29 209598
15 10 274199
12 7 188773
29 23 199752
32 21 191693
9 29 133659
2 4 218498
32 9 271148
5 25 140011
28 13 156490
1 7 145509
30 9 299391
5 33 105870
11 16 189484
13 4 167492
14 7 160680
30 10 176498
15 20 212778
13 31 66934
30 3 244446
16 23 99024
9 14 230453
24 12 315968
26 28 229600
7 23 132214
16 2 325474
15 28 173699
19 31 127294
8 26 232645
12 21 200968
33 12 259859
21 29 161627
25 33 34141
29 4 191800
26 1 178991
1 16 231599
6 24 131870
22 28 84452
10 27 227543
15 26 66496
24 7 225332
19 13 60360
5 17 260742
27 5 111535
20 2 310824
1 25 157588
Case #199: 180
29 43 246473
46 45 253116
33 8 230033
30 10 247349
5 50 127738
24 31 264370
49 19 164859
34 22 162886
10 21 362132
8 6 340391
16 12 425431
38 17 602366
39 48 474814
29 10 360427
24 15 304065
15 45 277910
17 1 478886
20 4 336921
30 14 235772
2 7 360511
47 10 317023
44 3 233099
46 9 202311
45 3 433806
39 28 48321
28 30 108203
5 12 165941
21 37 144299
23 28 303152
21 28 12434
5 17 412016
37 14 454268
27 11 363562
44 18 286175
29 18 280049
1 37 181947
37 40 219023
33 26 340062
16 48 489575
9 28 179045
3 36 382338
37 6 333685
43 2 456365
25 7 121150
35 21 271222
38 19 178859
47 5 99995
34 15 274244
50 21 23220
2 15 334494
26 7 241811
46 41 268184
14 23 625555
27 35 348546
22 44 132765
46 43 165087
27 18 357998
32 49 259627
14 47 366088
3 33 460351
7 4 108442
2 14 15658
27 3 410648
32 12 260818
30 15 117985
35 30 206689
23 24 394002
26 30 145984
7 17 490776
43 44 331073
29 17 555415
48 45 448056
48 47 471188
46 35 256033
46 14 341220
18 31 238327
48 41 501073
27 12 346835
16 32 319364
8 22 191377
22 28 114830
1 16 243969
18 40 282820
39 34 154039
35 4 219304
49 39 248990
26 32 257928
20 28 244296
6 17 466339
12 17 577957
29 16 248194
29 38 74689
4 48 353487
30 31 78290
1 34 177372
14 40 358555
13 24 325921
26 27 343945
36 13 372123
45 24 103051
9 36 303124
24 47 316396
14 5 266093
32 9 208807
20 38 190816
45 47 243040
25 9 199845
17 20 625155
34 37 237583
6 2 257963
17 44 447492
46 19 122624
34 2 420943
41 16 44684
45 9 202737
47 2 381746
4 39 147567
25 3 341690
20 37 353486
38 36 177559
15 12 151035
47 29 243394
15 18 278022
48 5 371193
40 44 248921
43 5 235256
5 30 30321
18 19 177213
46 6 342373
20 45 265859
25 17 571340
39 30 134952
6 10 271351
29 14 409492
18 5 190358
23 42 680333
21 46 152987
49 35 256440
46 23 422133
25 29 170541
35 13 10744
31 26 216842
18 28 268240
33 39 215285
19 1 53725
9 19 187137
11 41 28091
24 41 189473
34 4 168874
42 6 305671
26 22 139366
5 42 395640
33 40 259444
44 20 396931
40 6 294300
50 38 64266
33 4 206693
12 18 308213
42 49 458229
22 30 6627
26 28 254187
3 48 380699
30 29 173720
38 35 312268
30 13 212939
33 29 111403
3 12 468624
10 9 378994
47 22 123689
39 41 297688
17 22 435710
5 44 156459
4 9 182576
31 28 186493
25 35 279588
24 27 202180
34 17 598596
17 10 194988
48 27 515148
31 40 201073
Case #200: 421
19 7 96473
21 24 160226
2 3 101034
16 4 91434
18 6 141789
20 15 371391
27 24 40195
24 7 159552
9 2 152759
5 4 196886
18 12 125939
26 29 100732
18 7 91764
13 1 179232
16 14 44747
22 15 34987
4 22 112795
21 2 128136
29 28 129379
4 24 114080
16 7 136906
16 12 153610
23 17 34325
21 11 92575
9 18 156751
8 12 148116
10 24 111797
28 1 141182
20 1 395417
21 9 209773
22 19 61794
29 21 131584
10 22 135599
20 18 322578
9 25 164630
20 9 378013
5 6 292383
5 27 260294
3 24 130464
6 16 176976
7 25 91272
13 4 105618
27 18 115720
23 7 102932
5 24 282418
29 18 78562
13 15 1179
24 22 121150
13 12 141163
1 12 198778
20 12 388701
6 15 190602
27 20 382939
8 30 101137
18 17 45493
13 10 129043
19 15 54059
2 18 71126
19 4 51001
5 11 210387
25 22 131760
2 15 81325
7 28 67523
13 7 151090
28 2 128271
1 16 164427
25 5 242686
10 12 204491
22 14 66108
9 14 134187
1 26 113385
29 17 114637
2 7 151692
28 9 188379
20 4 309054
15 14 58373
23 11 41303
29 27 151235
13 22 36166
27 8 110036
4 18 46292
18 26 40546
19 6 146498
25 21 130231
30 9 197131
7 12 125119
6 25 174065
30 6 252687
3 11 69461
26 23 51714
30 3 140806
18 22 66503
12 15 139984
6 4 128265
21 22 141694
22 26 107049
2 24 107592
7 29 155140
27 7 119357
21 17 143448
8 11 2190
10 27 151992
26 20 303308
17 14 88237
24 12 158096
20 22 379126
11 27 112226
26 3 10638
30 1 199981
24 30 170978
9 12 245975
27 4 73885
7 21 129903
4 30 124422
22 5 263886
3 18 29908
8 18 37363
10 25 177379
20 21 338985
11 10 86480
14 2 52550
29 25 153128
28 15 82388
23 30 140250
26 12 88583
23 19 6459
10 5 296867
6 28 150316
8 23 39113
18 13 59947
7 30 169894
14 25 129068
26 15 99314
5 2 245948
28 13 83567
4 9 187857
26 4 8936
29 16 60617
19 9 152042
18 11 39553
3 29 108470
15 5 256151
16 30 131085
16 26 85688
8 28 90520
16 28 96014
8 19 32654
10 8 84290
11 25 116459
13 21 135138
13 23 48779
28 27 95936
5 26 191140
23 2 72876
11 12 150306
2 20 393704
19 29 73853
5 30 313714
30 10 155829
27 26 82821
7 17 133372
5 23 221578
29 4 109668
2 8 37751
23 14 53912
16 19 40433
16 2 67699
27 6 202150
9 17 192826
22 12 174971
1 6 214628
26 17 86039
3 5 180502
5 21 248549
18 21 97955
11 24 72031
7 3 61856
21 23 109123
24 26 123016
28 30 107072
22 7 158267
3 19 34617
12 3 96031
27 2 140785
7 14 128740
17 30 172921
24 8 69841
23 25 76425
28 12 57596
15 1 178053
18 5 210410
21 12 164078
12 25 81345
17 1 178148
20 25 337096
27 16 138526
29 23 80312
20 10 444231
28 11 92710
21 3 68047
23 10 123403
29 5 249396
18 14 52162
2 26 97284
6 24 242345
20 23 329321
22 23 55335
10 21 145077
1 4 119131
20 3 292670
11 30 103327
9 3 186659
6 17 187282
1 8 134479
5 9 327585
8 13 44753
10 15 127864
21 27 158316
17 22 89660
25 8 114269
28 18 68343
2 29 74570
25 15 106137
23 9 158501
10 7 187608
10 19 116944
3 6 111881
16 22 21361
26 19 45255
14 8 14799
26 6 122519
24 9 180359
6 11 181342
10 18 121653
15 23 47600
8 17 73438
9 6 298540
4 3 16384
15 16 13626
21 4 84431
14 27 124835
5 14 227376
22 30 152446
17 15 81925
5 1 193063
2 4 106220
3 25 62184
27 30 198307
24 1 204320
6 13 191781
19 12 130648
8 22 51309
1 11 132592
10 6 263442
19 27 111011
13 11 46943
15 18 58768
14 1 149278
28 24 100500
3 16 75050
8 6 179152
17 16 68299
1 29 171601
28 3 38435
4 11 70659
9 26 178921
7 6 173737
29 9 78189
20 30 403689
26 7 54408
10 28 153630
8 7 113941
8 4 68469
2 6 212915
17 20 294996
5 13 257330
7 9 168732
13 17 83104
20 8 359941
14 28 105319
15 4 104439
13 25 107316
5 17 255903
23 18 11168
16 18 45142
23 27 104552
1 22 185788
2 17 107201
13 19 55238
15 11 45764
13 3 89855
19 18 4709
2 19 66417
8 16 29948
12 29 168418
13 30 145890
3 8 67271
28 5 218937
4 10 142136
29 15 46991
20 7 354526
4 25 45800
4 12 79647
23 1 143823
2 1 97031
24 19 102495
28 19 73052
22 2 89060
11 19 34844
16 25 110399
1 3 102747
30 29 118942
13 20 372570
9 8 119388
8 5 212577
25 19 82884
24 13 101109
22 27 159887
30 18 138500
10 29 125489
29 22 81978
13 9 124001
12 23 137107
25 24 124249
7 5 242358
25 27 119685
9 16 138806
1 27 193016
18 24 107204
23 16 33974
28 17 65849
24 29 111040
21 6 179928
25 18 87593
15 30 144711
22 28 117375
3 14 82070
24 15 102288
19 20 327287
1 9 249790
24 14 84640
14 20 374740
13 14 59552
25 2 149301
11 14 16989
16 10 114238
15 27 142483
20 24 423134
26 8 59533
30 12 49476
12 6 207912
4 28 22051
3 27 90269
22 3 96411
27 9 220554
30 26 133358
25 30 130821
14 30 86338
19 1 137364
25 17 42100
17 12 123445
2 10 121634
9 22 160167
23 28 79511
13 16 14805
3 10 151561
21 14 75586
4 7 45472
15 3 88676
14 26 74332
20 11 362131
24 16 99789
28 20 331105
17 4 87900
25 28 23749
27 17 123476
10 1 218665
14 19 47453
6 14 193951
21 15 133959
26 21 78685
14 29 55998
14 10 69491
10 9 68562
5 12 276533
5 19 215119
29 6 220351
26 10 143823
21 16 120333
29 11 39009
24 17 143279
26 13 100493
30 21 161924
27 12 153532
5 20 419435
21 28 106482
21 8 90385
5 16 242525
18 1 132655
16 20 357765
3 23 41076
2 12 152426
12 14 135814
21 19 102664
22 11 53499
26 11 61723
8 29 41199
11 7 116131
20 6 180789
15 7 149911
13 29 45812
26 25 54736
19 17 40784
4 23 57460
7 1 164603
11 9 117198
4 14 83268
13 2 82504
17 3 75401
23 6 152957
30 19 133791
Case #201: Impossible
Case #202: 50
45 39 539362
17 45 369579
37 43 646326
47 38 612271
32 45 424346
6 37 881589
3 45 446257
15 17 619615
32 8 324609
47 4 537716
43 39 717953
32 12 624987
40 39 443441
32 31 630002
47 13 457442
10 30 244172
34 29 368251
21 20 447827
31 4 769455
9 18 795286
32 5 311929
1 24 317074
5 45 658735
49 26 890831
29 14 401463
43 47 710205
42 5 687310
5 39 512655
31 37 542691
24 29 2894
8 30 468691
25 4 552032
27 33 321461
45 9 324238
28 29 385813
35 43 390477
7 47 528578
19 43 366674
10 8 374907
11 39 502532
13 34 612412
41 44 451636
43 32 615565
19 4 770843
18 13 766330
21 16 511245
29 36 468511
4 20 919950
5 41 693346
42 47 280741
Case #203: 181
3 22 222690
8 20 192547
14 11 234247
14 15 74392
1 11 224589
19 6 358224
17 16 308439
20 24 144063
14 12 187126
4 28 239125
27 12 145756
10 17 250467
28 27 244327
10 5 139883
23 17 145852
11 8 163902
23 6 154311
21 14 255375
13 19 347563
12 13 218527
17 1 98227
26 14 45853
11 10 191414
15 17 124542
24 17 111404
16 23 336719
4 13 223403
9 15 215869
24 16 354252
14 24 152960
15 1 26315
4 8 345649
22 26 9261
5 13 328770
27 11 90992
18 3 201768
28 8 227425
28 6 244461
28 22 212194
27 14 283301
5 24 247513
6 5 309976
26 21 289802
16 13 395679
2 12 163623
18 4 229224
19 11 241764
9 11 127701
10 26 246170
22 9 125849
18 1 194887
11 18 112070
21 27 77507
7 20 330286
11 5 222971
4 12 131283
3 24 207918
23 24 71381
19 27 199342
7 22 235057
25 19 332986
18 12 260642
21 28 176091
19 15 359463
28 2 380238
26 23 141555
19 9 315617
7 26 225796
19 2 304417
6 4 249028
11 3 200278
26 3 213429
4 27 140541
18 28 155381
28 10 300594
6 14 215274
24 10 139063
9 4 244855
8 27 254894
2 25 171465
9 18 15631
18 15 213864
19 28 144605
10 6 234293
10 21 147045
25 4 264092
23 9 80862
19 22 265287
8 19 280518
26 13 190961
15 13 304073
24 2 218707
3 2 65343
9 17 120885
10 1 234139
4 22 339442
27 5 313963
24 9 21781
12 16 238200
1 8 118422
25 7 211050
26 15 120245
25 26 76960
7 5 289485
11 4 182963
19 17 260323
15 12 199304
10 4 84011
2 9 240488
12 21 68249
10 20 220059
14 20 150343
1 9 189554
5 8 179887
12 5 219011
7 16 507108
13 28 259134
21 7 435318
11 28 153335
18 14 146810
18 6 89080
25 6 246381
28 23 200174
9 6 73449
1 12 172989
6 13 222259
1 3 215653
10 3 81849
20 4 224763
25 11 241559
10 14 200969
15 28 273564
21 13 225728
26 6 169421
24 6 95230
7 11 401442
28 5 308714
19 5 265739
6 27 198900
23 14 187408
16 5 217623
15 2 128180
28 25 230279
26 4 330181
5 18 241363
12 9 271207
17 21 285505
9 25 193548
13 27 196791
16 18 348102
19 1 333148
18 23 65231
6 17 173718
18 2 224857
9 7 342384
